time_s	lane_id	generated_tokens	phase
82.000	gemma4-e2b-q4km-gemma-bin	6342	decode
84.000	qwen36-27b-dflash-pflash	1185	decode
84.000	qwen36-27b-baseline	309	decode
84.000	qwen36-35b-a3b-dynamic-strix	4082	decode
84.000	mistral-small-4-119b-ud-q4km	314	decode
84.000	gemma4-26b-a4b-q4km-gemma-bin	3360	decode
84.000	gemma4-e2b-q4km-gemma-bin	6511	decode
86.000	qwen36-27b-dflash-pflash	1219	decode
86.000	qwen36-27b-baseline	333	decode
86.000	qwen36-35b-a3b-dynamic-strix	4200	decode
86.000	mistral-small-4-119b-ud-q4km	338	decode
86.000	gemma4-26b-a4b-q4km-gemma-bin	3456	decode
86.000	gemma4-e2b-q4km-gemma-bin	6679	decode
88.000	qwen36-27b-dflash-pflash	1252	decode
88.000	qwen36-27b-baseline	357	decode
88.000	qwen36-35b-a3b-dynamic-strix	4319	decode
88.000	mistral-small-4-119b-ud-q4km	361	decode
88.000	gemma4-26b-a4b-q4km-gemma-bin	3552	decode
88.000	gemma4-e2b-q4km-gemma-bin	6848	decode
90.000	qwen36-27b-dflash-pflash	1286	decode
90.000	qwen36-27b-baseline	381	decode
90.000	qwen36-35b-a3b-dynamic-strix	4438	decode
90.000	mistral-small-4-119b-ud-q4km	385	decode
90.000	gemma4-26b-a4b-q4km-gemma-bin	3647	decode
90.000	gemma4-e2b-q4km-gemma-bin	7017	decode
92.000	qwen36-27b-dflash-pflash	1320	decode
92.000	qwen36-27b-baseline	405	decode
92.000	qwen36-35b-a3b-dynamic-strix	4557	decode
92.000	mistral-small-4-119b-ud-q4km	409	decode
92.000	gemma4-26b-a4b-q4km-gemma-bin	3743	decode
92.000	gemma4-e2b-q4km-gemma-bin	7186	decode
94.000	qwen36-27b-dflash-pflash	1354	decode
94.000	qwen36-27b-baseline	429	decode
94.000	qwen36-35b-a3b-dynamic-strix	4676	decode
94.000	mistral-small-4-119b-ud-q4km	433	decode
94.000	gemma4-26b-a4b-q4km-gemma-bin	3839	decode
94.000	gemma4-e2b-q4km-gemma-bin	7355	decode
96.000	qwen36-27b-dflash-pflash	1388	decode
96.000	qwen36-27b-baseline	453	decode
96.000	qwen36-35b-a3b-dynamic-strix	4795	decode
96.000	mistral-small-4-119b-ud-q4km	457	decode
96.000	gemma4-26b-a4b-q4km-gemma-bin	3935	decode
96.000	gemma4-e2b-q4km-gemma-bin	7524	decode
98.000	qwen36-27b-dflash-pflash	1422	decode
98.000	qwen36-27b-baseline	477	decode
98.000	qwen36-35b-a3b-dynamic-strix	4914	decode
98.000	mistral-small-4-119b-ud-q4km	481	decode
98.000	gemma4-26b-a4b-q4km-gemma-bin	4030	decode
98.000	gemma4-e2b-q4km-gemma-bin	7693	decode
100.000	qwen36-27b-dflash-pflash	1456	decode
100.000	qwen36-27b-baseline	501	decode
100.000	qwen36-35b-a3b-dynamic-strix	5032	decode
100.000	mistral-small-4-119b-ud-q4km	504	decode
100.000	gemma4-26b-a4b-q4km-gemma-bin	4126	decode
100.000	gemma4-e2b-q4km-gemma-bin	7862	decode
102.000	qwen36-27b-dflash-pflash	1490	decode
102.000	qwen36-27b-baseline	525	decode
102.000	qwen36-35b-a3b-dynamic-strix	5151	decode
102.000	mistral-small-4-119b-ud-q4km	528	decode
102.000	gemma4-26b-a4b-q4km-gemma-bin	4222	decode
102.000	gemma4-e2b-q4km-gemma-bin	8031	decode
104.000	qwen36-27b-dflash-pflash	1524	decode
104.000	qwen36-27b-baseline	550	decode
104.000	qwen36-35b-a3b-dynamic-strix	5270	decode
104.000	mistral-small-4-119b-ud-q4km	552	decode
104.000	gemma4-26b-a4b-q4km-gemma-bin	4317	decode
104.000	gemma4-e2b-q4km-gemma-bin	8192	done
106.000	qwen36-27b-dflash-pflash	1558	decode
106.000	qwen36-27b-baseline	574	decode
106.000	qwen36-35b-a3b-dynamic-strix	5389	decode
106.000	mistral-small-4-119b-ud-q4km	576	decode
106.000	gemma4-26b-a4b-q4km-gemma-bin	4413	decode
106.000	gemma4-e2b-q4km-gemma-bin	8192	done
108.000	qwen36-27b-dflash-pflash	1591	decode
108.000	qwen36-27b-baseline	598	decode
108.000	qwen36-35b-a3b-dynamic-strix	5508	decode
108.000	mistral-small-4-119b-ud-q4km	600	decode
108.000	gemma4-26b-a4b-q4km-gemma-bin	4509	decode
108.000	gemma4-e2b-q4km-gemma-bin	8192	done
110.000	qwen36-27b-dflash-pflash	1625	decode
110.000	qwen36-27b-baseline	622	decode
110.000	qwen36-35b-a3b-dynamic-strix	5627	decode
110.000	mistral-small-4-119b-ud-q4km	624	decode
110.000	gemma4-26b-a4b-q4km-gemma-bin	4604	decode
110.000	gemma4-e2b-q4km-gemma-bin	8192	done
112.000	qwen36-27b-dflash-pflash	1659	decode
112.000	qwen36-27b-baseline	646	decode
112.000	qwen36-35b-a3b-dynamic-strix	5745	decode
112.000	mistral-small-4-119b-ud-q4km	647	decode
112.000	gemma4-26b-a4b-q4km-gemma-bin	4700	decode
112.000	gemma4-e2b-q4km-gemma-bin	8192	done
114.000	qwen36-27b-dflash-pflash	1693	decode
114.000	qwen36-27b-baseline	670	decode
114.000	qwen36-35b-a3b-dynamic-strix	5864	decode
114.000	mistral-small-4-119b-ud-q4km	671	decode
114.000	gemma4-26b-a4b-q4km-gemma-bin	4796	decode
114.000	gemma4-e2b-q4km-gemma-bin	8192	done
116.000	qwen36-27b-dflash-pflash	1727	decode
