ts_iso	epoch	prompt_tokens_total	prompt_seconds_total	tokens_predicted_total	tokens_predicted_seconds_total	requests_processing	requests_deferred
2026-05-12T22:12:43-0400	1778638363	16682	58	0	0	1	0
2026-05-12T22:12:45-0400	1778638365	16682	58	0	0	1	0
2026-05-12T22:12:47-0400	1778638367	16682	58	0	0	1	0
2026-05-12T22:12:49-0400	1778638369	16682	58	0	0	1	0
2026-05-12T22:12:51-0400	1778638371	16682	58	0	0	1	0
2026-05-12T22:12:53-0400	1778638373	16682	58	0	0	1	0
2026-05-12T22:12:55-0400	1778638375	16682	58	0	0	1	0
2026-05-12T22:12:57-0400	1778638377	16682	58	0	0	1	0
2026-05-12T22:12:59-0400	1778638379	16682	58	0	0	1	0
2026-05-12T22:13:01-0400	1778638381	16682	58	0	0	1	0
2026-05-12T22:13:03-0400	1778638383	16682	58	0	0	1	0
2026-05-12T22:13:05-0400	1778638385	16682	58	0	0	1	0
2026-05-12T22:13:07-0400	1778638387	16682	58	2048	168.881	1	0
2026-05-12T22:13:12-0400	1778638392	16682	58	2048	168.881	1	0
2026-05-12T22:13:19-0400	1778638399	16682	58	2048	168.881	1	0
2026-05-12T22:13:25-0400	1778638405	16682	58	2048	168.881	1	0
2026-05-12T22:13:32-0400	1778638412	16682	58	2048	168.881	1	0
2026-05-12T22:13:39-0400	1778638419	16682	58	2048	168.881	1	0
2026-05-12T22:13:47-0400	1778638427	16682	58	2048	168.881	1	0
2026-05-12T22:13:54-0400	1778638434	16682	58	2048	168.881	1	0
2026-05-12T22:14:02-0400	1778638442	33364	116.365	2048	168.881	1	0
2026-05-12T22:14:08-0400	1778638448	33364	116.365	2048	168.881	1	0
2026-05-12T22:14:10-0400	1778638450	33364	116.365	2048	168.881	1	0
2026-05-12T22:14:12-0400	1778638452	33364	116.365	2048	168.881	1	0
2026-05-12T22:14:14-0400	1778638454	33364	116.365	2048	168.881	1	0
2026-05-12T22:14:16-0400	1778638456	33364	116.365	2048	168.881	1	0
2026-05-12T22:14:18-0400	1778638458	33364	116.365	2048	168.881	1	0
2026-05-12T22:14:20-0400	1778638460	33364	116.365	2048	168.881	1	0
2026-05-12T22:14:22-0400	1778638462	33364	116.365	2048	168.881	1	0
2026-05-12T22:14:24-0400	1778638464	33364	116.365	2048	168.881	1	0
2026-05-12T22:14:26-0400	1778638466	33364	116.365	2048	168.881	1	0
2026-05-12T22:14:28-0400	1778638468	33364	116.365	2048	168.881	1	0
2026-05-12T22:14:30-0400	1778638470	33364	116.365	2048	168.881	1	0
2026-05-12T22:14:32-0400	1778638472	33364	116.365	2048	168.881	1	0
2026-05-12T22:14:34-0400	1778638474	33364	116.365	2048	168.881	1	0
2026-05-12T22:14:36-0400	1778638476	33364	116.365	2048	168.881	1	0
2026-05-12T22:14:38-0400	1778638478	33364	116.365	2048	168.881	1	0
2026-05-12T22:14:40-0400	1778638480	33364	116.365	2048	168.881	1	0
2026-05-12T22:14:43-0400	1778638483	33364	116.365	2048	168.881	1	0
2026-05-12T22:14:45-0400	1778638485	33364	116.365	2048	168.881	1	0
2026-05-12T22:14:47-0400	1778638487	33364	116.365	2048	168.881	1	0
2026-05-12T22:14:49-0400	1778638489	33364	116.365	2048	168.881	1	0
2026-05-12T22:14:51-0400	1778638491	33364	116.365	2048	168.881	1	0
2026-05-12T22:14:53-0400	1778638493	33364	116.365	2048	168.881	1	0
2026-05-12T22:14:55-0400	1778638495	33364	116.365	2048	168.881	1	0
2026-05-12T22:14:57-0400	1778638497	33364	116.365	2048	168.881	1	0
2026-05-12T22:14:59-0400	1778638499	33364	116.365	2048	168.881	1	0
2026-05-12T22:15:01-0400	1778638501	33364	116.365	2048	168.881	1	0
2026-05-12T22:15:03-0400	1778638503	33364	116.365	2048	168.881	1	0
2026-05-12T22:15:05-0400	1778638505	33364	116.365	2048	168.881	1	0
2026-05-12T22:15:07-0400	1778638507	33364	116.365	2048	168.881	1	0
2026-05-12T22:15:09-0400	1778638509	33364	116.365	2048	168.881	1	0
2026-05-12T22:15:11-0400	1778638511	33364	116.365	2048	168.881	1	0
2026-05-12T22:15:13-0400	1778638513	33364	116.365	2048	168.881	1	0
2026-05-12T22:15:15-0400	1778638515	33364	116.365	2048	168.881	1	0
2026-05-12T22:15:18-0400	1778638518	33364	116.365	2048	168.881	1	0
2026-05-12T22:15:20-0400	1778638520	33364	116.365	2048	168.881	1	0
2026-05-12T22:15:22-0400	1778638522	33364	116.365	2048	168.881	1	0
2026-05-12T22:15:24-0400	1778638524	33364	116.365	2048	168.881	1	0
2026-05-12T22:15:26-0400	1778638526	33364	116.365	2048	168.881	1	0
2026-05-12T22:15:28-0400	1778638528	33364	116.365	2048	168.881	1	0
2026-05-12T22:15:30-0400	1778638530	33364	116.365	2048	168.881	1	0
2026-05-12T22:15:32-0400	1778638532	33364	116.365	2048	168.881	1	0
2026-05-12T22:15:34-0400	1778638534	33364	116.365	2048	168.881	1	0
2026-05-12T22:15:36-0400	1778638536	33364	116.365	2048	168.881	1	0
2026-05-12T22:15:38-0400	1778638538	33364	116.365	2048	168.881	1	0
2026-05-12T22:15:40-0400	1778638540	33364	116.365	2048	168.881	1	0
2026-05-12T22:15:42-0400	1778638542	33364	116.365	2048	168.881	1	0
2026-05-12T22:15:44-0400	1778638544	33364	116.365	2048	168.881	1	0
2026-05-12T22:15:46-0400	1778638546	33364	116.365	2048	168.881	1	0
2026-05-12T22:15:49-0400	1778638549	33364	116.365	2048	168.881	1	0
2026-05-12T22:15:51-0400	1778638551	33364	116.365	2048	168.881	1	0
2026-05-12T22:15:53-0400	1778638553	33364	116.365	2048	168.881	1	0
2026-05-12T22:15:55-0400	1778638555	33364	116.365	2048	168.881	1	0
2026-05-12T22:15:57-0400	1778638557	33364	116.365	2048	168.881	1	0
